country,year,CAPB_1,CAPB,bp_adj_new,bp_success_new,bp_success_new_first,rapid_adj_c,unemp_rate,short_term_i,gross_fin_liab,debtgdp_wb,debtgdp,gov_bond_int,gdp_growth,cpi_inflation_rate,gdp_value,payment_min_i,receipts_min_i,totalseats,govoth,numgov,numvote,herfgov,govfrac,efw_total,gov_crises,cabinet_change,number_spending_ministers,potrafke_ideology,election,exo,endo,month,ngov1rlc,ngov2rlc,ngov3rlc,ngov4rlc,ngov5rlc,ngov6rlc,ngov1seat,ngov2seat,ngov3seat,ngov4seat,ngov5seat,ngov6seat,nnum_gov_seats
australia,1967,,,,,,,1.853431,,,39.24582,,,7.229958,3.5,2.86E+10,,,,,,,,,,0,1,,2,,,,,,,,,,,,,,,,,0
australia,1968,,,,,,,1.796897,5.116667,,38.21143,,,5.294528,2.5,3.12E+10,,,,,,,,,,0,1,,2,,,,,,,,,,,,,,,,,0
australia,1969,,,,,,,1.790871,5.566667,,35.72693,,,6.271051,3.3,3.50E+10,,,,,,,,,,2,0,,2,,,,,,,,,,,,,,,,,0
australia,1970,,,,,,,1.628315,7.108333,,33.90505,,6.646667,6.948133,3.4,3.90E+10,,,,,,,,,6.9,0,0,11,2,,,,,,,,,,,,,,,,,0
australia,1971,,,,,,,1.878146,7.008333,,31.32648,,6.713333,3.871937,6.1,4.31E+10,,,,,,,,,6.74,0,1,11,2,,,,,,,,,,,,,,,,,0
australia,1972,,,,,,,2.573719,5.083333,,29.73517,,5.831666,2.329657,6,4.72E+10,,,,,,,,,6.58,0,1,11,2,,,,,,,,,,,,,,,,,0
australia,1973,,,,,,,2.28043,6.983333,,26.4661,,6.933333,4.341914,9.1,5.57E+10,,,,,,,,,6.42,0,0,25,4,,,,,,,,,,,,,,,,,0
australia,1974,,,,,,,2.640608,13.15833,,23.01308,,9.036667,1.569186,15.4,6.65E+10,,,,,,,,,6.26,1,0,25,4,,,,,,,,,,,,,,,,,0
australia,1975,,,,,,,4.848703,8.525,,22.86119,,9.741667,2.352603,15.2,7.77E+10,,,,0,0,,,,6.1,2,1,25,4,1,1,0,12,,,,,,,,,,,,,0
australia,1976,,,,,,,4.720836,9.24,,22.29873,,10.03083,3.899639,13.3,9.12E+10,,,127,0,91,53.1,0.6222678,0.3819292,6.26,0,0,10,2,0,0,0,,3,3,,,,,68,23,0,,,,91
australia,1977,,,,,,,5.569728,10.2125,,21.48849,,10.22667,1.383899,12.3,1.01E+11,,,127,0,91,53.1,0.6222678,0.3819292,6.42,0,0,10,2,1,0,1,12,3,3,,,,,68,23,0,,,,91
australia,1978,,,,,,,6.280662,9.843333,,22.37985,,9.06,2.0504,8,1.12E+11,,,124,0,86,48.1,0.6557599,0.34829,6.58,0,1,11,1,0,0,0,,3,3,,,,,67,19,0,,,,86
australia,1979,,,,,,,6.197986,9.773334,,22.88662,,9.749166,4.625409,9.1,1.29E+11,,,124,0,86,48.1,0.6557599,0.34829,6.74,0,0,11,1,0,0,0,,3,3,,,,,67,19,0,,,,86
